Customer,counts
ROSE ACRE FARMS,31
SEYMOUR CITY STREET-DPW,14
SUMMITT TRUCKING,13
CIRCLE K **NATIONAL ACC**,13
FOSTER BROTHERS LLC,12
BEST WAY OF INDIANA INC,10
WISCHMEIER TRUCKING,9
TEMPLE & TEMPLE EXCAVATIN,9
SHOWBOUND EXPRESS INC.,9
ATOMIC TRANSPORT,8
RIVER METALS REC LLC,8
BROWNSTOWN CENTRAL CSC,7
UHL IDEALEASE - AUSTIN,6
JACKSON COUNTY HIGHWAY DE,6
LOWES DIST NTH VERNON,6
5 STAR ELECTRIC LLC  JH,6
MATTINGLY CARL,4
FOX FARMS,4
ST. JOHN TRUCKING  INC.,4
HOEVENER  DAN (Z),4
HODGE SPECIALIZED CARRIER,4
UHL IDEALEASE - PALMYRA,4
PREMIER AG CO-OP INC,4
A-1 TRANSIT CORPORATION,4
FRONTIER COMMUNICATIONS,3
QUICK SUPPLY CO,3
HUNLEY FARMS,3
POLLERT FARMS,3
PAT MATTINGLY INC,3
GARY GOODE TRUCKING LLC,3
AKKT TRUCKING,3
MIKE JACKSON,3
JACON TRANSPORTATION,3
NUTRIEN AG SOLUTIONS,3
NEW BERN 371 NATIONAL ACC,3
KLOSTERMAN-CLAYTON,3
NORTH VERNON STREET DEPT,3
BUNDY BROTHERS,3
BEST-ONE MID AMERICA,3
"KENTUCKIANA TRUCKING, INC",3
JEREMIAH PERCIVAL,3
OMARA DAVE,2
PADGETT TRUCKING INC/OMARA,2
J & E TIRE CENTER,2
METEOR EXPRESS,2
"R W TRANSPORT, INC",2
KLINGE INC,2
MCPIKE GREG,2
JA-CON TRANSPORT,2
GARLO,2
NAPIER TRUCKING,2
RIVER METALS/LOU TKG/SR,2
LOYAL-T TRANSPORT,2
"PARDIECK & SON FARMS, LLC",2
"WRIGHT IMPLEMENTS 1, LLC",2
RMK RECOVERY,2
SEYMOUR MUNICIPAL SEWER U,2
T&R FARMS,2
BOBB  RICHARD,2
TRENT BROWN,2
TRIMLINE,2
COLIN MILLS,2
SMITH CREEK LOGISTICS,2
ARTCO LLC,2
BRUNER'S TRUCKING INC,2
N I TECH,1
WASTE WATER TREATMENT PLA,1
"PADGETT, INC.",1
SUNBELT RENTALS - CLARKS,1
WM FARMS,1
OTTING FARMS,1
MITCHELL & STARK CONST.CO,1
T5 SERVICES,1
NUB LOGISTICS,1
"TLD LOGISTICS SERVICES,IN",1
TONY  BXB EXPRESS,1
WISLEY CONTRACTING,1
NITECH,1
MITCHELL ROYALTY,1
WEST WASHINGTON SCHOOL,1
MOHLENKAMP CUSTOM OPERATIONS,1
US HOUSING COMPONENTS,1
STL TRUCKING,1
NIC TRANSPORT LLC,1
USL LOGISTICS,1
NELSON LOGISTICS,1
"NEFF FAMILY FERTILIZER, INC.",1
WEST UA TRANSPORTATION,1
NICK BOHANON,1
ROEHL,1
STEVE WILLEN,1
ROCKFORD OUTDOORS LLC,1
ROBERT GILLIAND ESCAVATING,1
ROSE FARMS / MMR,1
ROYAL OAK RETRIEVER LLC,1
"MIDWEST GYM SUPPLY,INC",1
RUGGED LINER,1
SALEM HARDWOOD LUMBER CO,1
RIVER METALS/LOU TKG/FLT,1
"SCHEPMAN, JOE - FARMS, IN",1
SCHROER TRUCKING,1
REYNOLDS  MIKE,1
RAY O'CONNER,1
RANGER ENTERPRISES LLC,1
SHELBY TIRE & AUTO CARE,1
SHOEMAKER  BRUCE,1
SHOEMAKER  DONALD A.,1
PREMEIR TRUCKING,1
POWERSCREEN LLC,1
POWER SCREEN,1
POLOVIN-DANNY,1
SPECIALIZED TRANSPORTATION,1
POLLEY BUILDING SUPPLY,1
"SPREEN & SONS TRUCKING, LLC",1
PINK PENTHER INC,1
"PIKE ELECTRIC, INC",1
PENSKE TRUCK/ P0551,1
"SPURGEON, J MARK",1
STAHL FARMS INC,1
STARR TRUCKING,1
1ST CHOICE HAULING,1
MIDWEST GENERATOR,1
COOMER TOWING  (HAMPTON TOWING,1
CENTURY LEASING LLC,1
CHRIS J HARTLEY,1
CINCY TRUCKING LLC,1
CLIFF KIRTS,1
COBB TRUCKING,1
COLIM TRUCKING,1
CONTINENTAL EXPRESS,1
CONWELL CONSTRUCTION,1
CTI  CENTRAL TRUCKING,1
EAGLE FLEET - ROB,1
"DANNY ""SARGE"" JOHNSON",1
DARLAGE  DON R.,1
DARRYL PATTERSON,1
DAVID CADDELL,1
DEVIL DOGG,1
DOUBLE L TRUCKING,1
DRAG WAGON,1
DYLAN'S EQUIPMENT LEASE,1
CASH,1
CARGO NETWORK SOLUTION,1
BROWN & GORDON,1
BROWN  MARK E. (BF),1
AER EXPRES,1
"AISIN DRIVETRAIN, INC.",1
"APEX TRAILER SERVICE, LLC",1
ARMITASE,1
ARMS LINE,1
ARTCO,1
ASSOCIATED RAILROAD,1
ATLAS,1
"AYERS, JASON",1
B & A THOMPSON GRAIN,1
BARTHOLOMEW COUNTY REMC,1
BEDFORD N. LAWRENCE SCHLS,1
BEST-ONE INDY,1
"BEST-ONE JACKSON, TN",1
BLUEGRASS CARTAGE,1
BOB STEPHENS,1
BRIAN KINWORTHY,1
E & B PAVING INC/ GOHMANN,1
EARLEY ELECTRIC,1
MCS TRANSPORT LLC,1
KLOSTERMAN  MAX,1
JAM BEST-ONE TOLEDO OH,1
JAMES OWEN,1
JENNINGS COUNTY HIGHWAY,1
JEREMY HINES,1
JONES TRANSPORT,1
JORDAN FARMS,1
KENDALL  KENNY,1
KEVIN HOEVENOR,1
KOFFI,1
EXCEL MANUFACTURING INC.,1
KOVA FERT. INC.-SEYMOUR,1
L & L LUMBER - LARRY WEHM,1
LIAM LIDDICK,1
LIBERTY RECYCLING,1
LOADED TRUCKIN,1
LONNIE BROWN,1
"M & M CARTAGE CO., INC.",1
MCDONALD  B. WAYNE,1
JACOBI SALES INC,1
IVAN MILES FARM,1
INDUSTRIAL TRANSFER SOLUTIONS,1
INDIANA OXYGEN,1
FERRELLGAS,1
"FRANKE, ALEX J",1
FRANKS TREE CARE,1
G&B TRUCKING,1
GENERAL DRILLING,1
"GOTTA GO, INC. - TRACKING",1
GOZAL INC,1
GWS TRUCKING,1
HACKMAN  TOM,1
HAROLD MASON,1
HAWKEYE MOTOR GROUP,1
HERITAGE AGGREGATES,1
HOLLINGER,1
HOLLINGER TRUCKING,1
HOOSIER TURF LLC,1
HUNTSMAN TRUCKING,1
IMR INC,1
KOF LOGISTICS,1
