Customer,counts
XTRA LEASE,70
"GOTTA GO, INC.",65
MERCER TRANSPORTATION,61
SMITH CREEK LOGISTICS,55
"GOTTA GO, INC. - TRACKING",39
FIDA LLC,39
RIVER METALS REC LLC,36
JANUARY LABOR,35
LIQUID TRANSPORT LLC/ LOU,35
FEBUARY LABOR 2023,34
MARCH LABOR 2023,34
APRIL LABOR 2023,34
LOYAL-T TRANSPORT,31
MCMAHON TRUCK CENTER,27
CW EXPRESS,24
MID AMERICA MILLING CO.,22
PETERBILT OF LOUISVILLE,22
TALON LOGISTICS SERVICES,21
ESTES WASTE SOLUTIONS,21
NIC TRANSPORT LLC,20
ROYAL OAK RETRIEVER LLC,18
GREWAL TRUCKING,17
FASTFORWARD / FEDEX,17
BEST-ONE INDY -OMNISOURCE,16
THIENEMAN GROUP LLC,15
"HYDRO TECHNOLOGIES,INC",15
COBRA TRADING,14
NICK BOHANON,13
CLARKSVILLE PUBLIC WORKS,13
UHL IDEALEASE - PALMYRA,12
CE HUGHES MILLING INC,12
CERCONE TRUCKING INC,12
BRUNER'S TRUCKING INC,11
"M & M CARTAGE CO., INC.",11
DAWN FOOD PRODUCTS,11
BRYAN K. SMITH,11
EXTREME TRAILER SERVICE L,10
ATOMIC TRANSPORT,10
CLASSIC TRUSS & WOOD INC.,10
GARRY'S TRUCKING SERVICE,10
GARY GOODE TRUCKING LLC,10
A-1 TRANSIT CORPORATION,10
HATFIELD EXPRESS,10
SUMMITT TRUCKING,9
"FLEETNET AMERICA, INC. CA",8
DUKE ENERGY,8
DONLEN CORPORATION,8
RIVER METALS/LOU TKG/SR,8
KENTUCKY TRUCK SALES INC,8
PC BLDG MATERIALS/SELLERS,8
CENTURY LEASING LLC,7
EQUIPMENT SHARE (NAT ACC),7
JEFFERSONVILLE FIRE DEPT,7
UHL,7
METAL SALES MFG. CORP./SE,7
MCCRITE MILLING & CONSTRU,7
"APEX TRAILER SERVICE, LLC",7
CAR TRANSPORT,6
MIDWEST TRANSPORT / FEDEX,6
"IMI/IRVING MATERIALS, INC",6
HOOSIER BANDAG INC,6
WOLF PACK TRUCKING LLC,6
ADMIRAL MERCHANTS MTR FRT,6
LANDSTAR FLEET MAINT,6
EQUIPMENT SHARE,6
R A LIBS INC,6
JEFFERSONTOWN FIRE DEPT,5
PETER TALLMAN,5
COMPETITIVE PALLET SERVIC,5
CLARKSVILLE COMM. SCHOOLS,5
T & C CONTRACTING INC,5
THOROUGHBRED TRANSPORTATI,5
ROBERT HAIL,5
FRANK ALVARINO,5
E & B PAVING INC/ GOHMANN,5
PLEASURE RIDGE PARK FIRE,5
FISHEL CO,5
RCS SYM KTP,5
EARTHSCAPES LLC,4
ROCKY FORK FEEDERS LLC,4
ROGERS GROUP (KY),4
FERN CREEK FIRE & EMS,4
DALE BRUMMETT CONSTRUCTION CO,4
JEFFERSONVILLE WASTEWATER,4
ECO-TECH ENVIRONMENTAL,4
ST MATTHEWS FIRE PROT DIS,4
DARRYL SUMMERS,4
ROSE FARMS / MMR,4
GO WEST TRUCKING,4
SK CARGO,4
JD TRANSPORT,4
SCOTT KLINE,4
INLAND EQUIPMENT & LEASIN,4
SOLOMON BAFFOE,4
LAVALLE TRANSPORTATION,4
MATT RATLIFF,4
PRECISION STRIP TRANSPORT,4
"KOETTER WOODWORKING, INC.",4
MEADORS  RALPH J & SONS I,4
"PADGETT, INC.",4
AIRGAS/WARNER FLEET NAT.,4
"VALLEY SCALE CO.,LLC",4
NEW ALBANY FIRE DEPT,4
CHRIS BROWN,4
MAR-DA COMPANY,4
MHCS,4
WALNUT RIDGE NURSERY & GA,3
BEST-ONE CENTRAL ILLINIOS #46,3
IVAN MILES FARM,3
FLOYD COUNTY HWY DEPT,3
BILL BROUGHTON TRK & EXC,3
FIRE & SPECIALTY EQUIP. C,3
SUPERIOR LOADZZ,3
BENNETT TOWING & RECOVERY,3
2S INC. / FEDEX,3
"BENNETT MOTOR EXPRESS, IN",3
MR J TRUCKING,3
MC LOGISTICS,3
GEHRING UNDERGROUND INC,3
"GHK ON-SITE, LLC",3
HILLTOP BIG BEND QUARRY,3
RIVER METALS/LOU TKG/FLT,3
NEW ALBANY STREET DEPT,3
AMERICAN BEVERAGE MARKETE,3
GREATER CLARK CTY SCH TRA,3
NEW BERN TRANSPORT,3
ALLEN ROEDERER,3
OKOLONA FIRE DEPT,3
5 STAR ELECTRIC LLC  JH,3
"MULTICORR, A DIV OF CORR",3
PILOT INC,3
MAXIM CRANE WORKS / LVLLE,3
LOW LIFE TRANSPORT,3
"KAT CONSTRUCTION, INC",3
JOEL SIMPSON,3
JERRY MEURER,3
LB EAGLE TRANSPORTATION,3
DELTA SERVICES,3
DENNIS HOLLKAMP,3
DENZEL,3
LEWIS TRANSPORT,3
CINTAS #302,3
PREMIER AG CO-OP INC,3
FRISARD,3
REDIEHF / COMBINED TRANSPORT,3
EXPRESS TOWING,3
J & E TIRE CENTER,3
POWERSCREEN SALES AND SERICES,3
JACK COOPER TRANSPORT,3
EICKHOFF,3
MACOMB GROUP,2
KYKO TRUCKING LLC,2
"LANDSTAR RANGER, INC.",2
NEW WASHINGTON VOL. FIRE,2
RIVERSIDE TRANSPORT,2
LAYNE CHRISTENSEN CO,2
MARTENS TRUCKING,2
PC BLDG MATERIALS/NEW ALB,2
HERITAGE DISTRIBUTION,2
HYDRA TRAN JEFFERSONVILLE,2
METAL SALES / NEW ALBANY,2
JEFF HUFF TRUCKING,2
JACOBI OIL SERVICE,2
LOSSON EXCAVATING,2
POSTMAN CARGO,2
HODGE SPECIALIZED CARRIER,2
MTD DRILLING,2
M C CONCRETE CONSTRUCTION,2
NAPIER TRUCKING,2
ZONETON FIRE DEPT,2
CLIFFORD'S INC,2
AUTUMN TRANSPORT INC.,2
BALLARDSVILLE FIRE DEPT,2
"BARE METAL, INC",2
WESTROCK,2
DENNIS MCGUIRE TRUCKING,2
STEVE TRUEBLOOD,2
CALVIN LAMPKIN,2
DAN CRISTIANI EXCAVATING,2
"STREIGEL ASPHALT CO, INC.",2
W TRANSFER INC,2
"VISSINGS TRANSPORT,LLC",2
CROWN TOWING,2
BLACK EQUIPMENT CO (YALE),2
COOMES EXCAVATING,2
TEMPLE & TEMPLE EXCAVATIN,2
CONSTRUCTION MACHINERY CO,2
TRINKLE TRUCKING,2
BRUMMETT CONSTRUCTION,2
HACKMAN  TOM,2
BRYAN STUMLER EXCAVATING,2
C-JAMS,2
CAUDILL SEED COMPANY,2
WISCHMEIER TRUCKING,2
STL TRUCKING,2
AT EXPRESS,2
YOSUA & SALAI TRUCKING,2
SERCO/CENTERPOINT,2
"GARRETTS DELIVERY SVC, INC",2
AIRGAS/WARNER FLEET NAT,2
SHELBY COUNTY CO-OP,2
GLOBE LOGISTICS,2
ADC PAVING,2
H.K. TRUCK CENTER,2
ANCHORAGE MIDDLETOWN FIRE,2
AMERICAN CONTRACTING,2
ZARROE TRANS.,2
TOBY'S LAWN CARE,1
US LUMBER,1
PADGETT TRUCKING INC/OMARA,1
PND PUTNAM TRUCKING,1
