Customer,counts
"M & M CARTAGE CO., INC.",200
ATOMIC TRANSPORT,86
UHL,71
RCS TRANSPORTATION LLC,51
XTRA LEASE,50
DHL SUPPLY CHN (1940) CRR,49
STANDARD SALES CO LP,32
MILLS TRANSPORTATION CO.,25
SERCO MANAGEMENT SERVICES,25
"MULTICORR, A DIV OF CORR",24
LOUISVILLE SWITCHING SERV,20
STERNBERG AUTOMOTIVE,19
LOUISVILLE FIRE DEPT,18
HOMESTRETCH LOGISTICAL,18
"GOTTA GO, INC.",14
"DAVIS H. ELLIOT CO., INC.",14
SUPERIOR TRANSPORTATION,13
OKOLONA FIRE DEPT,12
XPO LOGISTICS,12
"CHEMICAL RESOURCES, INC",12
COBRA TRADING,11
TAYLOR MOTORS INC,10
"KAMPS,INC",9
COBB TRUCKING,8
RIVER METALS REC LLC,7
FREEDOM METALS,7
UNITED ELECTRIC,7
WESTROCK,7
BRUNER'S TRUCKING INC,6
COMPLETE DEMOLITION SVC.,6
VALICOR ENV SVCS LLC,6
LOUISVILLE METRO EMS,6
ROBERT HOLBERT,6
TALON LOGISTICS SERVICES,6
SUMMITT TRUCKING,6
AMERICAN METAL SUPPLY COM,5
"STAR CONSTRUCTION, LLC",5
VOGT DISPOSAL,5
JOHN WEAVER,5
BEST SUPPLY INC,5
BLUEGRASS PALLET COMPANY,5
DHL SUPPLY CHN (4170) LAD,4
FBM - FOUNDATION BLDG. MAT.,4
EASTGATE VILLAGE,4
EIC TECHNOLOGIES INC,4
"FLEETNET AMERICA, INC. CA",4
160 DRIVING ACADEMY,4
H T HACKNEY CO,4
MAXIM CRANE WORKS / LVLLE,4
MOBILE MINI INC,4
MOSBYS TOWING & TRANSPORT,4
STEPHEN L KOCH TRUCKING,4
"TONY'S WRECKER SERVICE, INC",4
TRAVIS G MILLER,4
UNIVERSAL LINEN,4
WALDEN TRANSFER,4
DEPENDABLE DUMPSTER,4
KENTUCKY TRAILER MANUFACT,4
ZSCHIMMER & SCHWARZ,4
ALLEN ELECTRICAL,3
FERN CREEK FIRE & EMS,3
ASHBAUGH-ROBY TRKG,3
ATLANTA COMM TIRE,3
"HOFFMAN TRAILER CO., INC.",3
HOLSTON GASES,3
HYDRA TRANS OF LOUISVILLE,3
SFI TRUCKING,3
KENNY'S TREE SERVICE,3
KENTUCKY COM & TECH COLLEGE,3
REDBOX,3
RED ROVER,3
BRYAN K. SMITH,3
MIDWEST TRANSPORT / FEDEX,3
OLYMPIC TRANSFER,3
OAKLEY TRANSPORT,3
FERGUSON ENTERPRISES,3
HYDRAULIC AND PNEUMATIC,3
DERBY CITY SIGN & ELECTRI,3
ABC SUPPLY COMPANY/LOUISV,3
NORTON HEALTH CARE,2
RAME CONTRACTING LLC,2
"GREENBAUM ASSOCIATES, INC",2
BALLARDSVILLE FIRE DEPT,2
L&W DRYWALL & SUPPLY,2
"HAAS CARRIAGE, INC.",2
HALL CONTRACTING OF KENTU,2
WARE ENERGY,2
SMITH CREEK LOGISTICS,2
MACS TRUCKING,2
R A MARTIN INC,2
INDUSTRIAL KILN & DRYER,2
RCS SYM LAP,2
CARDINAL ALUMINUM COMPANY,2
BULLITT COUNTY SEPTIC SVC,2
USL LOGISTICS,2
RIVER METALS/LOU TKG/FLT,2
LIQUID RECOVERY,2
LIBERTY TIRE RECYCLING,2
CONE SOLVENTS,2
KENTUCKY PAVING,2
WISCHMEIER TRUCKING,2
KENWORTH OF LOUISVILLE,2
"REPUBLIC SERVICES, INC. 3077",2
"GOTTA GO, INC. - TRACKING",2
PENSKE #0456 - LOUISVILLE,2
DEREK ENGINEERING INC.,2
CITY OF ST. MATTHEWS,2
COLOMBUS LOGISTICS,2
NORTH AMERICAN VAN LINES,2
US POST OFFICE,2
AFGAN EXPRESS LLC,2
UNITED UTILITY SUPPLY,2
BOYD CAT SUPPLY,2
MUELLER ROOFING DIST.,2
MORAN/PETTIT INC.,2
"PADGETT, INC.",2
BREAKFAST AND BEYOND,2
FISHEL CO,2
BOKNECHT TRUCKING  INC.,2
ARAMARK UNIFORMS #572,2
THE HARPER COMPANY,2
PACLEASE/PALMER LEASING,2
ABC SUPPLY CO INC 7269,2
REPUBLIC NATIONAL DISTRIB,2
PERSEREVANCE CONTRACTING,1
PENSKE #6990 - READING PA,1
NUCO2,1
PARTY BUS 502,1
REDBOX PLUS DUMPSTERS,1
"PIKE ELECTRIC, INC",1
4 EVER WELDING,1
PATH TRANSPORT,1
QUALITY TRUCK & TRAILER,1
WORK-A-HAULIX LLC,1
RED LIGHTING,1
O'CONNOR GMC,1
PENSKE #6409-10 - DERBY CITY,1
BLACK EAGLE,1
YAY VISION TRANS,1
Z TRANSPORTATION,1
"P & L EXPRESS, INC",1
A PLUS PAPER SHREDDING,1
RASMUSSEN TRUCKING,1
ODG TRANSPORT,1
RAMCO LEASING,1
PERSEVERANCE CONTRACTING,1
"VAC2GO, LLC",1
RENTCO RENTALS,1
REX BAILEY,1
"BENNETT MOTOR EXPRESS, IN",1
STURGILLS'S,1
ASSOCIATED RAILROAD,1
T & C CONTRACTING INC,1
T E M GROUP INC,1
TEMPLE & TEMPLE EXCAVATIN,1
TIM WILEY,1
TITAN TRANSFER,1
ANCHORAGE MIDDLETOWN FIRE,1
"ABC SUPPLY CO, INC   #156",1
VOCARS KENTUCKY LLC,1
TQT LLC,1
AMERICAN SCALE CORPORATIO,1
U-HAUL OF KY,1
ALL-STATE FORD TRUCK SALE,1
US TOWING & RECOVERY,1
USHER/OWNER-OPERATOR,1
STARK EQUINE SERVICES LLC,1
"BEST-ONE COLUMBUS, OH",1
BEST-ONE INDY,1
ROGERS TRUCKING INC,1
RIVER CITY PARTS,1
WILLIAM E. GROVES CONSTRU,1
RIVER CITY TRUCK PARTS,1
RIVER EXPRESS LLC,1
"BEST-ONE MILFORD, OH",1
RMR LOUISVILLE,1
BEST-ONE MID AMERICA,1
RR CONSTRUCTION,1
SOUTHERN PETROLEUM,1
SANJAY TAXAK,1
BEST-ONE LIMA,1
A PLUS SHREDDING,1
SHIPPERS SUPPLY COMPANY,1
NRS TRANSPORT,1
WEATHERBOYS TRUCKING,1
SMM TRUCK REPAIR,1
ROAMERICA EXPRESS,1
CONTRACT LEASING CORP,1
NRG TRUCKING,1
GINGER MONTGOMERY,1
ERGON TRANSPORT,1
CLECO CORP CONSTRUCTION,1
FERRELLGAS,1
"FIBA TECHNOLOGIES, INC",1
FIVE POINTS TRANSPORT,1
FORTERRA FOODS,1
"CARDINAL CARRYOR, INC",1
GATEWAY TRUCKING,1
GEORGE E. FERN COMPANY,1
GLOBAL FREIGHT,1
ENGLAND LOGISTICS,1
"GNS EXPRESS, LLC",1
GODBEY RAIL,1
GPI,1
GREG LINKOUS,1
H MCKEAN TRUCKING,1
BUSY BUS,1
H&N TRANSPORT,1
HEIMBROCK INC,1
HEPACO LOUISVILLE,1
EQUIPMENT SHARE,1
ENERGY SAVERS,1
NORTH OLDHAM FIRE DEPT,1
CONCRETE PUMP PARTNERS,1
CRABTREE FARMS,1
DAKAR SUNRISE,1
DAKAR SUNRISE LLC,1
DAROB INC,1
DARRELL FANNIN TRUCKING,1
DAS TRUCKING LLC,1
DDI TRANSPORT,1
DEBBIE SUTHERLAND EXCAVAT,1
DELTA SERVICES,1
DHL SUPPLY CHAIN (1213) LEX,1
"ELI WESLEY TRUCKING, INC.",1
COMMONWEALTH SIGN CO,1
"COMMONWEALTH PAVING, INC.",1
DISTRIBUTOR SERVICE INC,1
DMB TRANSPORT LLC,1
DONTELL COBB TRUCKING,1
EAGLE EXPRESS TRUCKING,1
ED CUHN,1
EDLIN BROS INC,1
COLEMAN SERVICES,1
HOLCINI INC,1
BUNDLE EXPRESS,1
ICDC,1
MERDZIC TRANSPORTATION,1
BROWN SPRINKLER CORPORATI,1
BRO-KAGAE TRANSPORT,1
M A BISIG CONCRETE,1
MAD DASH TRUCKING,1
MAINLINE EXPRESS,1
MARRILLIA ENVIRONMENTAL,1
MATERIAL HANDLING SYSTEMS,1
BRITE LOGISTICS,1
MERCER TRANSPORTATION,1
MEYER LOGISTICS,1
INDEPENDENT STAVE COMPANY,1
COOPER FREIGHT,1
MIDWEST EXPRESS,1
MIDWEST METALS,1
MIKE CROFOOT,1
MILLER PIPELINE,1
MISTER P EXPRESS INC.,1
BRAYS CUSTOM TRANSPORT,1
BOYD CAT SUPPLY OTR,1
NICK BOHANON,1
LOUISVILLE METRO HOUSING,1
BT TRUCKING,1
LOUISVILLE CARTAGE CO.,1
LINK ELECTRIC,1
JB GROUP,1
JD SPECIALIZED HAULING,1
JEFFERSONTOWN FIRE DEPT,1
JET TOWING,1
JOHN NICOLSKI,1
JONATHAN COFFEY,1
JOSE ABDALA,1
JRD TRANSPORTATION,1
JRR MOTOR SALES,1
BTL TRANS,1
KASH TRANSPORTATION,1
2 COUSINS TRUCKING,1
KENTUCKY TRAILER SERVICE,1
KINGSBURY,1
KRB TRUCKING,1
"KRV TRUCKING, LLC",1
LARRY CLARK CONSTRUCTION,1
LAVALLE TRANSPORTATION,1
LIMITLESS TRANS,1
MID LOGISTICS,1
