Customer,counts
THOROUGHBRED TRANSPORTATI,39
HARROD TRANSPORT,28
COBRA TRADING,26
RCS TRANSPORTATION LLC,22
GREEN METALS INC,21
HARROD CONCRETE & STONE,17
R & R SEPTIC & EXCAVATING,16
K-I LUMBER CO/ ARI,15
DHL SUPPLY CHN (1049) FRK,13
DHL SUPPLY CHAIN (1213) LEX,13
EDWARDS MOVING & RIGGING,12
UHL,11
DUSTY FEATHER FARMS,9
MIDWEST METALS,9
BENNETT GAS,8
H T HACKNEY CO,7
SHELBY DIESEL & MACH REP,7
FAST TRACK TRUCKING LLC,7
PEGASUS INDUSTRIES LLC,7
SERCO MANAGEMENT SERVICES,6
PERRY DOWNEY/INLINE TRANS KY,6
BLUEGRASS ROLLER SERVICE,6
LOUISVILLE SWITCHING SERV,6
TUCKER FARMS,6
"THOROUGHBRED CONTRACTORS,",5
RIVER METALS REC LLC,5
CLEARVIEW EXC/B.JOHNSON,5
MIKE DOUR,4
ROLL FORMING,4
ARMSTRONG RELOCATION,4
BRADEN TRUCKING,4
HEARN INDUSTRIAL SERVICES INC,4
BFI BENSON VL LNDFL 0541,4
BAGDAD ROLLER MILLS,4
"M & M CARTAGE CO., INC.",3
"DAVIS H. ELLIOT CO., INC.",3
BRUNER'S TRUCKING INC,3
US HOUSING COMPONENTS,3
WHITAKER,3
SOUTHERN STATES,3
RIVER METALS REC - ASHLND,3
SMITH CONTRACTORS INC,3
F B PURNELL SAUSAGE CO,3
ELDAR EXPRESS LLC,2
EMINENCE INDEPENDENT SCHO,2
ROCKIT TRUCKING INC,2
SAZERAC NORTH AMERICA INC,2
R E PURNELL CONSTRUCTION,2
FRANK KAPFHAMMER,2
RED BOX,2
RMR LOUISVILLE,2
PROCESS MACHINERY INC,2
QUALITY TOPSOIL FARM INC,2
"DILLON TRANSPORT,INC.",2
EARLY ENVIRONMENTAL CONTR,2
B J STEWART,2
BEST-ONE MID AMERICA,2
BARRICK,2
SMITH CREEK LOGISTICS,2
BILLY JOE STEWART,2
RENTCO RENTALS,1
RED BOX DUMPSTER,1
TRANSCONTINENTAL,1
TRI-B,1
R J CORMAN RAILROAD GROUP,1
R AND J HORIZONTAL BORING,1
UNITED FORCES,1
TRUCK STAR,1
PROFESSIONAL EXPEDITING,1
WADDELL'S AUTO & SCRAP,1
WALMART DIST CENTER,1
WESTROCK,1
WILLARD,1
"PRECISION WALL SYSTEMS,LL",1
PHILIP MCCOUN,1
WORLD OF TIRES,1
REPUBLIC DIESEL,1
TMOR EXCAVATING,1
SHELBY COUNTY EMS,1
"SOUTHERN VENTURES, INC.",1
SHELBY CO RECYCLING FCLTY,1
OTT TRANSPORT,1
SHORT HAUL,1
SHUCK FENCE CO.,1
SIGNAL POWER & LIGHTING,1
SIMPSONVILLE FIRE DEPT.,1
RX CATTLE CO,1
RX CATTLE,1
STANLEY LOUDEN,1
RIVER METALS/LOU TKG/FLT,1
ROCK SOLID FOUNDATIONS,1
STAR ELECTRIC INC,1
STEVEN BRADLEY,1
STEVENS BROTHERS FARMS,1
SWAGON,1
TANDYS TRUCKING & EXCAVAT,1
RIVER METALS/LOU TKG/SR,1
TITAN TRANSFER,1
50 STATES,1
JUSTRANSPORT,1
OSBORNE BROS EXCAVATING,1
BOYD CAT JEFFERSONTOWN,1
CRYSTAL FRIEGHT,1
CROSS COUNTRY DISTRIBUTIN,1
CONTAINER PORT  GROUP,1
COMPLETE TRANSFER LLC,1
COLLINS TRUCKING,1
CMC,1
CARGO TRANS,1
CALHOUN TRUCKING CO,1
CAJENN CONSTRUCTION,1
"BUSH ENTERPRISES, INC.",1
BULLITT COUNTY SEPTIC SVC,1
BUCHANAN TRUCKING,1
BRAD W.ROBERTS FARM LLC,1
BOBIE NATION,1
DAVE COUSSEU,1
BEST SUPPLY INC,1
BEST EQUIPMENT CO INC,1
B & G ENTERPRISE,1
AYALA TRANSPORT,1
AUTUMM TRANSPORT,1
AT&T FLEET CALL CTR,1
ARIAS TRANSPORT,1
ARI - HEPACO SHELBYVILLE,1
ARBOR GARDENS TREE SERVICE,1
APOLLO FREIGHT,1
AMERICAN PROFESSIONAL SERV,1
AMERICAN METAL SUPPLY COM,1
ALTEC INDUSTRIES,1
DAROB INC,1
DFF TRANSPORTATION,1
OIS,1
JAY,1
MOSBYS TOWING & TRANSPORT,1
MOHMED,1
LYNC,1
LUCKY WHEELS,1
LAWRIMORE TRUCKING,1
KOLBY LYLES,1
KLEMPNER EXCAVATING,1
KINGSBURY,1
"KAMPS,INC",1
K & S TRUCKING,1
ABC CUTTING,1
JONES MOTORS,1
JMT EXPRESS,1
JAMES GRAHAM,1
DOWNEY TRANSPORT LLC,1
HOME RUN INC,1
HIGH BOOST,1
HBM EXPRESS,1
HALL CONTRACTING OF KENTU,1
GOLANES TRUCKING,1
GLOBAL RENTAL CO.INC,1
FROSEL TIRE,1
FORWARDAIR,1
FERRELLGAS,1
EXPORTER DESERT TRANS,1
EVJUJ,1
EMIL SELIMOVIC,1
DREAM EXPRESS,1
WRIGHT IMPLEMENT KY,1
